Ctry,Year,SR,Lat,Lon,PType,PNum,Catch
DE,1998,29D8,50.25,-11.5,M,1,23.862
DE,1998,34D7,52.75,-12.5,M,1,42.499
DE,1998,34D8,52.75,-11.5,M,1,35.794
DE,1998,36D9,53.75,-10.5,M,1,23.862
DE,1998,43F7,57.25,7.5,M,1,0.017
DE,1998,45F4,58.25,4.5,M,1,0.058
DE,1998,45F5,58.25,5.5,M,1,0.034
DE,1998,47E4,59.25,-5.5,M,1,216.688
DE,1998,49E5,60.25,-4.5,M,1,361.148
DE,1998,34F3,52.75,3.5,M,2,0.029
DE,1998,35F4,53.25,4.5,M,2,0.019
DE,1998,43E0,57.25,-9.5,M,2,417.603
DE,1998,44E0,57.75,-9.5,M,2,1015.124
DE,1998,45E0,58.25,-9.5,M,2,69.558
DE,1998,45E1,58.25,-8.5,M,2,697.55
DE,1998,46E1,58.75,-8.5,M,2,134.973
DE,1998,46E2,58.75,-7.5,M,2,273.804
DE,1998,46E3,58.75,-6.5,M,2,200.164
DE,1998,47E4,59.25,-5.5,M,2,251.162
DE,1998,48E4,59.75,-5.5,M,2,199.183
DE,1998,49E5,60.25,-4.5,M,2,1616.235
DE,1998,51E8,61.25,-1.5,M,2,11.958
DE,1998,25E0,48.25,-9.5,M,3,100.486
DE,1998,26D8,48.75,-11.5,M,3,11.424
DE,1998,26D9,48.75,-10.5,M,3,992.907
DE,1998,27D8,49.25,-11.5,M,3,466.515
DE,1998,27D9,49.25,-10.5,M,3,217.081
DE,1998,28D8,49.75,-11.5,M,3,253.47
DE,1998,28D9,49.75,-10.5,M,3,406.164
DE,1998,29D8,50.25,-11.5,M,3,110.646
DE,1998,29D9,50.25,-10.5,M,3,208.926
DE,1998,30D8,50.75,-11.5,M,3,38.357
DE,1998,30D9,50.75,-10.5,M,3,561.743
DE,1998,31D8,51.25,-11.5,M,3,230.724
DE,1998,32D8,51.75,-11.5,M,3,209.966
DE,1998,33D8,52.25,-11.5,M,3,39.828
DE,1998,34F3,52.75,3.5,M,3,0.001
DE,1998,35D8,53.25,-11.5,M,3,69.941
DE,1998,36D8,53.75,-11.5,M,3,422.756
DE,1998,37D8,54.25,-11.5,M,3,248.695
DE,1998,38D9,54.75,-10.5,M,3,60.292
DE,1998,41E0,56.25,-9.5,M,3,267.103
DE,1998,42E0,56.75,-9.5,M,3,533.457
DE,1998,43E0,57.25,-9.5,M,3,200.972
DE,1998,46F3,58.75,3.5,M,3,0.059
DE,1998,47E4,59.25,-5.5,M,3,100.486
DE,1998,47E5,59.25,-4.5,M,3,221.503
DE,1998,47F3,59.25,3.5,M,3,0.006
DE,1998,49E5,60.25,-4.5,M,3,2361.164
DE,1998,51F1,61.25,1.5,M,3,0.082
DE,1998,25E0,48.25,-9.5,M,4,30.66
DE,1998,26D9,48.75,-10.5,M,4,367.302
DE,1998,27D8,49.25,-11.5,M,4,312.423
DE,1998,27D9,49.25,-10.5,M,4,151.97
DE,1998,28D9,49.75,-10.5,M,4,198.259
DE,1998,29D8,50.25,-11.5,M,4,418.479
DE,1998,29D9,50.25,-10.5,M,4,196.285
